,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Sft2d1,0,0,0,0,0,0,0,0,1,0,0,0
Eya4,0,0,0,0,0,0,1,0,0,0,0,0
Eif2b5,1,0,0,0,1,0,0,0,0,0,0,0
Usp5,0,0,0,0,0,0,0,0,1,0,0,0
Taf9b,0,0,0,1,0,0,0,0,0,0,0,1
Rap2c,1,0,0,0,1,0,0,0,0,0,0,0
Lats2,1,0,0,0,1,0,0,0,0,0,0,0
Fas,0,0,0,0,0,0,1,0,0,0,0,0
Lin28a,0,0,0,1,0,0,0,0,0,0,0,1
Sesn3,0,0,0,0,0,0,0,0,1,0,0,0
Acvr1c,0,0,0,1,0,0,0,0,0,0,0,1
Entpd6,0,0,0,0,0,0,0,0,0,1,0,0
Tmem38b,0,0,0,0,0,0,0,0,1,0,0,0
Poldip3,0,0,0,0,0,0,0,0,0,1,0,0
Uba6,1,0,0,0,1,0,1,0,1,0,0,0
Arfgef1,0,0,0,0,0,0,1,0,0,0,0,0
Ccnt2,0,0,0,0,0,0,0,0,1,0,0,0
Col4a1,0,0,0,1,0,0,0,0,0,0,1,1
Prtg,0,0,0,1,0,0,0,0,1,0,0,1
Abhd13,0,0,0,0,0,0,0,0,0,1,0,0
Cdh17,0,0,0,0,0,0,0,0,1,0,0,0
Gpsm1,0,0,0,0,0,0,0,0,1,0,0,0
Chuk,0,0,0,0,0,0,0,0,1,0,1,0
Irgq,0,0,0,0,0,0,0,1,0,0,0,0
Hip1r,0,0,0,0,0,0,0,0,0,1,0,0
Pde7a,0,0,0,0,0,0,0,0,1,0,0,0
Med4,0,0,0,0,0,0,0,0,0,1,0,0
Arl6ip1,0,0,0,0,0,0,0,0,0,0,1,0
Creb5,0,0,0,0,0,1,0,0,0,0,0,0
Casc4,0,0,0,0,0,0,0,1,0,0,0,0
Itga5,0,0,0,0,0,0,0,0,0,0,1,0
Ipmk,0,0,1,0,0,0,0,0,1,0,0,0
LOC497899,0,0,0,1,0,0,0,0,0,0,0,1
Gpr180,0,0,0,0,0,0,0,0,0,0,1,0
Ugcg,0,0,0,0,0,1,1,0,0,1,0,0
Ncoa6,0,0,0,0,0,0,0,0,1,0,0,0
RGD1560958,1,0,0,0,1,0,0,0,0,0,0,0
Dnajb5,1,0,0,0,1,0,0,0,0,0,0,0
Gad1,0,0,0,0,0,0,0,0,0,1,0,0
Cckbr,0,0,0,0,0,0,0,0,0,0,1,0
