,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Brd3,0,0,1,1,0,0,0,0,0,0,0,1
Shmt2,0,0,1,0,0,0,0,0,0,0,0,0
Lpar1,1,0,0,0,1,0,0,0,1,0,0,0
Dmrt3,0,1,0,0,0,0,0,0,0,0,0,0
Klf12,0,0,1,0,0,0,0,0,0,0,0,0
Gpc5,0,0,0,0,0,0,1,0,0,0,0,0
Nol8,0,0,0,0,0,0,0,0,0,1,0,0
Zswim7,0,0,0,0,0,0,0,0,0,1,0,0
Matn3,0,0,0,0,0,0,1,0,0,0,0,0
Mmd,1,0,0,0,1,0,1,1,0,0,1,0
Txnrd1,0,0,0,0,0,0,0,0,1,0,0,0
Ror1,0,0,0,0,0,0,1,0,0,0,0,0
Fam133b,0,0,0,0,0,0,1,0,0,0,0,0
Elp1,0,0,0,1,0,0,0,0,0,0,0,1
Lpcat2,0,0,0,0,0,0,1,0,0,0,0,0
Sms,0,0,0,0,0,0,0,0,1,0,1,0
Foxo1,0,0,0,0,0,0,1,0,0,0,0,0
Vav2,0,0,0,0,0,0,1,0,0,0,0,0
Pbx3,0,0,0,1,0,0,0,0,0,0,0,1
Mthfs,0,0,1,0,0,0,0,0,0,0,0,0
Il6,0,0,0,1,0,0,0,0,0,0,0,1
Ccnk,0,0,0,0,0,0,1,0,0,0,0,0
Map3k14,0,0,0,0,0,0,1,0,0,0,0,0
LOC100125362,1,0,0,0,1,0,0,0,0,0,0,0
Fads1,0,0,0,0,0,1,0,0,0,0,0,0
Gnb3,0,1,0,0,0,0,0,0,0,0,0,0
Ptprm,0,0,0,0,0,0,0,1,0,0,0,0
Crebrf,0,0,1,0,0,1,1,1,0,0,0,0
Kctd17,0,0,0,1,0,0,0,0,0,0,0,1
Skp2,0,0,0,0,0,1,0,0,0,0,0,0
Ccm2,0,0,0,0,0,0,1,1,1,0,0,0
Rpe65,0,0,0,0,0,0,0,0,0,0,1,0
Rab34,0,0,0,0,0,0,0,0,0,0,1,0
Tbk1,1,0,0,0,1,0,0,0,0,0,0,0
Pcdh9,0,0,1,0,0,0,0,0,0,0,0,0
Bicdl1,0,1,0,0,0,0,0,0,0,0,0,0
Mdfic,0,0,0,0,0,0,0,0,1,0,1,0
Hadha,0,0,0,0,0,0,1,0,0,0,0,0
Slco4a1,0,0,0,0,0,0,0,0,0,0,1,0
Kif16b,0,1,0,0,0,0,0,0,0,0,0,0
Ptpn13,1,0,0,0,1,0,0,0,0,0,0,0
Ppm1b,1,0,0,0,1,0,0,0,0,0,0,0
Smarca5,0,1,0,0,0,0,0,0,0,0,0,0
Ppp4r2,0,0,0,0,0,0,1,0,1,0,0,0
Mad2l1bp,1,0,0,0,1,0,0,0,0,0,0,0
Tbkbp1,0,0,0,1,0,0,0,0,0,0,0,1
S100a3,0,0,1,0,0,0,0,0,0,0,0,0
Rab11fip4,0,0,0,1,0,0,0,0,0,0,0,1
