rno-miR-200b-3p,Zeb1
,Gpm6a
,Dpy19l1
,Slit2
,Ptpn21
,Errfi1
,Lhfpl6
,Pkd1
,Eloc
,Cfl2
,Tmem41b
,Bag5
,Nsun6
,Mgat2
,Mmd
,Slc35a2
,Sesn1
,Dennd5a
,Tfap2a
,Igsf10
,Osbpl11
,Pik3ca
,Tubb5
,Mospd2
,Rtca
,Cbr4
,Ndst1
,Ndfip2
,Khdrbs1
,RGD1560108
,Jun
,Slitrk1
,Ppp1r9b
,Rtf1
,Arih1
,Mprip
,Fhl1
,Desi2
,Scd
,RGD1309748
,Ap1s2
,Rgl1
,Zfand6
,Rps6kb1
,Gtf3c4
,Spryd7
,Pik3cb
,Bap1
,Elmod2
,Rbsn
,Fbxo33
,Grin2a
,Phtf2
,Sptssa
,Cdk17
,Zfp532
,Gabpa
,Rap2c
,Slc38a2
,Spag9
,Rnf168
,Ugt8
,Tob1
,Acsbg1
,Gpr158
,Mmd2
,Gpr75
,Elavl2
,Mmgt1
,Fn1
,Pdik1l
,Twistnb
,Git2
,Xkr8
,Pkia
,Cops8
,Eif2b5
,Ckap4
,Mmgt2
,Kdr
,Sfr1
,Chrdl1
,Cep41
,Uba6
,Fat3
,Slc6a1
,Gata4
,Trmt9b
,St6galnac5
,Sulf1
,Marcks
,Tbk1
,Osgepl1
,Dusp1
,Nbr1
,Rapgef2
,Lpar1
,Evi5
,Dnajb5
,Hook1
,Nup160
,Ric3
,Robo2
,Wasf1
,Rab21
,Sema3f
,Tram1l1
,Zcchc24
,Ankrd40
,Oat
,Ptpn13
,RGD1560958
,Gabarapl2
,Lrp1
,Ppm1b
,Psip1
,Sema6d
,Nck2
,Reln
,Zfp292
,Csnk1g3
,Slc19a2
,Utp11
,Dnajb9
,Matr3
,Srsf1
,Serpini1
,Lcp2
,Plppr4
,Phex
,Tent4b
,Lats2
,Nfya
,Atl2
,Scel
,LOC100125362
,Nup107
,Golga7
,Ttc14
,Cnot7
,Tln1
,Prdm1
,Hipk1
,Clasp2
,Nrg1
,Col4a3bp
